Name,Operate Own Transpo?,Border Method,Counterintel?,Jimbo,Stevie,Margalo,Criminal Record?,Need to meet?,# Past Deals w/ Them,Max Qty Avail,Price ($/kg)
Abraham,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,722,7026
Aleksey,N,GO-FAST BOAT,N,N,N,N,N,Y,0,903,6856
Alex,Y,MULE,N,Y,N,N,N,Y,0,587,7094
Alexandr,N,SHIPPING CONTAINER,N,N,N,N,N,Y,1,957,7048
Alexey,N,MULE,N,Y,N,N,N,Y,0,990,7108
Alina,N,RESERVATION,N,N,Y,Y,N,Y,0,751,7062
Alyona,N,MULE,N,Y,N,N,Y,Y,0,920,7328
Amado,N,RESERVATION,N,N,N,N,Y,Y,2,694,6898
Amro,Y,SHIPPING CONTAINER,N,N,N,Y,Y,Y,0,695,7376
Anastasia,Y,SHIPPING CONTAINER,N,Y,N,Y,Y,Y,0,748,7144
Andrei,Y,SUB,Y,Y,Y,N,N,N,2,3138,7591
Andrew,N,GO-FAST BOAT,N,Y,N,N,N,Y,0,945,7043
Andrey,Y,RESERVATION,N,N,Y,N,Y,Y,0,936,6853
Anja,Y,RESERVATION,N,Y,N,N,Y,Y,2,829,7063
Anna,N,RESERVATION,N,Y,N,Y,Y,Y,0,525,7218
Anton,Y,RESERVATION,N,Y,N,N,N,Y,0,609,6950
Armando,N,MULE,N,Y,Y,N,N,Y,0,736,7361
Artem,N,GO-FAST BOAT,N,Y,N,N,Y,Y,0,927,7008
Arthur,N,GO-FAST BOAT,N,N,Y,Y,Y,Y,0,740,6823
Artyom,N,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,0,668,7183
Austin,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,682,6865
Babbis,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,584,6831
Barbora,N,MULE,N,Y,Y,N,N,Y,0,982,6927
Bea,Y,GO-FAST BOAT,N,N,Y,Y,N,Y,0,773,7257
Bianchi,N,SHIPPING CONTAINER,N,N,N,Y,N,Y,0,687,7298
Bill,N,SHIPPING CONTAINER,N,N,Y,N,Y,Y,0,875,7143
Bishop,N,MULE,N,Y,N,N,N,Y,0,596,6907
Bluthe,Y,GO-FAST BOAT,Y,Y,Y,Y,N,N,3,2970,7434
Bobby,N,MULE,N,Y,N,N,Y,Y,0,956,7076
Brad,Y,GO-FAST BOAT,N,N,Y,Y,N,Y,0,816,7251
Brandon,Y,MULE,N,Y,N,Y,Y,Y,0,919,6937
Bruno,N,MULE,N,Y,N,Y,N,Y,0,744,7015
Bryce,Y,SHIPPING CONTAINER,N,N,N,N,N,Y,0,586,6817
Cai,N,SHIPPING CONTAINER,Y,Y,Y,Y,N,N,3,2242,7830
Cao,N,SUB,N,Y,N,Y,N,N,4,4986,7475
Cardenas,N,RESERVATION,N,Y,N,Y,Y,Y,2,824,7390
Carrillo,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,948,7340
Chang,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,1,4837,7478
Christof,N,SHIPPING CONTAINER,N,N,N,Y,N,Y,0,772,6804
Clark,N,GO-FAST BOAT,N,Y,N,Y,N,Y,0,995,7027
Colombo,N,SHIPPING CONTAINER,N,Y,N,N,N,Y,0,560,7160
Conti,N,SHIPPING CONTAINER,N,N,N,Y,Y,Y,0,714,7328
Costa,N,RESERVATION,N,N,N,Y,N,Y,0,919,7245
Dallas,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,988,7010
Danil,Y,GO-FAST BOAT,N,Y,N,Y,Y,Y,0,641,6973
Daria,N,MULE,N,Y,Y,Y,N,Y,0,742,6957
Dasha,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,711,6951
De Coco,Y,RESERVATION,N,Y,N,N,N,N,0,854,6823
De Luca,Y,MULE,N,Y,N,Y,Y,Y,0,539,7162
Dede,N,MULE,N,Y,N,Y,Y,Y,0,656,6948
Deng,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,1,3173,7512
Dennis,N,GO-FAST BOAT,N,N,Y,N,Y,Y,0,763,6924
Diana,Y,RESERVATION,N,N,N,N,N,Y,0,834,6970
